Year,ChlA,CPE,Protein,NAO,AO,Bot_temp,Bot_Sal,Surf_Temp,Surf_Sal,C-org
2002,3.50,16.72,0.515,0.18,0.441325,-0.74,34.89,7.65,35.04,1.55
2003,5.42,22.87,0.599,-0.19,-0.260308333,NaN,NaN,NaN,NaN,1.38
2004,3.23,17.57,0.642,0.11,-0.261375,NaN,NaN,NaN,NaN,1.07
2005,2.64,13.37,0.78,-0.01,-0.177316667,NaN,NaN,NaN,NaN,1.48
2006,1.79,11.00,0.70,-0.07,-0.134441667,NaN,NaN,NaN,NaN,1.28
2007,5.50,35.98,2.10,-0.18,0.417491667,-0.87,34.91,4.36,34.16,1.40
2008,3.42,46.66,0.92,-0.09,0.08565,NaN,NaN,NaN,NaN,1.59
2009,7.03,49.35,1.35,-0.10,0.216083333,NaN,NaN,NaN,NaN,1.63
2010,3.74,57.66,1.06,-0.90,-1.126633333,NaN,NaN,NaN,NaN,1.25
2011,3.28,30.72,4.03,-0.44,-0.110108333,NaN,NaN,NaN,NaN,1.31
2012,3.32,32.66,0.79,0.15,0.321066667,-0.84,34.91,5.90,34.94,1.00
2013,8.54,45.98,1.52,-0.44,-0.48805,NaN,NaN,NaN,NaN,1.36
2014,3.51,30.57,0.60,0.28,0.388208333,NaN,NaN,NaN,NaN,1.48
2015,3.55,43.98,1.06,0.56,0.3639,NaN,NaN,NaN,NaN,1.30
2016,4.02,31.54,0.48,0.12,-0.065691667,NaN,NaN,NaN,NaN,1.16
2017,3.28,39.38,1.12,0.00,0.23555,-0.82,34.91,7.80,35.02,1.20
2018,4.22,28.22,0.83,0.60,0.153308333,-0.79,34.91,7.02,34.96,1.36
2019,5.30,42.58,0.77,0.44,0.1586,-0.79,34.91,6.75,34.62,1.07
2020,NaN,NaN,NaN,-0.05,0.590666667,NaN,NaN,NaN,NaN,NaN
2021,9.06,54.31,0.52,-0.06,-0.0807,-0.78,34.91,3.17,34.75,1.17
2022,34.65,137.84,0.48,0.09,0.2966,-0.66,34.91,5.46,34.83,1.17
